Deutsch;Englisch;Kategorie
PouletSaft;chicken juice;Essen & Trinken
PouletSalat;chicken salad;Essen & Trinken
PouletSuppe;chicken soup;Essen & Trinken
PouletSauce;chicken sauce;Essen & Trinken
PouletStück;chicken piece;Essen & Trinken
PouletScheibe;chicken slice;Essen & Trinken
PouletPortion;chicken portion;Essen & Trinken
PouletPackung;chicken packet;Essen & Trinken
PouletDose;chicken can;Essen & Trinken
PouletGlas;chicken glass;Essen & Trinken
PouletBecher;chicken cup;Essen & Trinken
PouletSchale;chicken bowl;Essen & Trinken
GemüseSaft;vegetable juice;Essen & Trinken
GemüseSalat;vegetable salad;Essen & Trinken
GemüseSuppe;vegetable soup;Essen & Trinken
GemüseSauce;vegetable sauce;Essen & Trinken
GemüseStück;vegetable piece;Essen & Trinken
GemüseScheibe;vegetable slice;Essen & Trinken
GemüsePortion;vegetable portion;Essen & Trinken
GemüsePackung;vegetable packet;Essen & Trinken
GemüseDose;vegetable can;Essen & Trinken
GemüseGlas;vegetable glass;Essen & Trinken
GemüseBecher;vegetable cup;Essen & Trinken
GemüseSchale;vegetable bowl;Essen & Trinken
FruchtSaft;fruit juice;Essen & Trinken
FruchtSalat;fruit salad;Essen & Trinken
FruchtSuppe;fruit soup;Essen & Trinken
FruchtSauce;fruit sauce;Essen & Trinken
FruchtStück;fruit piece;Essen & Trinken
FruchtScheibe;fruit slice;Essen & Trinken
FruchtPortion;fruit portion;Essen & Trinken
FruchtPackung;fruit packet;Essen & Trinken
FruchtDose;fruit can;Essen & Trinken
FruchtGlas;fruit glass;Essen & Trinken
FruchtBecher;fruit cup;Essen & Trinken
FruchtSchale;fruit bowl;Essen & Trinken
NussSaft;nut juice;Essen & Trinken
NussSalat;nut salad;Essen & Trinken
NussSuppe;nut soup;Essen & Trinken
NussSauce;nut sauce;Essen & Trinken
NussStück;nut piece;Essen & Trinken
NussScheibe;nut slice;Essen & Trinken
NussPortion;nut portion;Essen & Trinken
NussPackung;nut packet;Essen & Trinken
NussDose;nut can;Essen & Trinken
NussGlas;nut glass;Essen & Trinken
NussBecher;nut cup;Essen & Trinken
NussSchale;nut bowl;Essen & Trinken
BeerenSaft;berry juice;Essen & Trinken
BeerenSalat;berry salad;Essen & Trinken
BeerenSuppe;berry soup;Essen & Trinken
BeerenSauce;berry sauce;Essen & Trinken
BeerenStück;berry piece;Essen & Trinken
BeerenScheibe;berry slice;Essen & Trinken
BeerenPortion;berry portion;Essen & Trinken
BeerenPackung;berry packet;Essen & Trinken
BeerenDose;berry can;Essen & Trinken
BeerenGlas;berry glass;Essen & Trinken
BeerenBecher;berry cup;Essen & Trinken
BeerenSchale;berry bowl;Essen & Trinken
BrotSaft;bread juice;Essen & Trinken
BrotSalat;bread salad;Essen & Trinken
BrotSuppe;bread soup;Essen & Trinken
BrotSauce;bread sauce;Essen & Trinken
BrotStück;bread piece;Essen & Trinken
BrotScheibe;bread slice;Essen & Trinken
BrotPortion;bread portion;Essen & Trinken
BrotPackung;bread packet;Essen & Trinken
BrotDose;bread can;Essen & Trinken
BrotGlas;bread glass;Essen & Trinken
BrotBecher;bread cup;Essen & Trinken
BrotSchale;bread bowl;Essen & Trinken
ReisSaft;rice juice;Essen & Trinken
ReisSalat;rice salad;Essen & Trinken
ReisSuppe;rice soup;Essen & Trinken
ReisSauce;rice sauce;Essen & Trinken
Laden;shop;Einkaufen & Geld
Geschäft;store;Einkaufen & Geld
Supermarkt;supermarket;Einkaufen & Geld
Bäckerei;bakery;Einkaufen & Geld
Metzgerei;butcher's;Einkaufen & Geld
Apotheke;pharmacy;Einkaufen & Geld
Kiosk;kiosk;Einkaufen & Geld
Markt;market;Einkaufen & Geld
Einkauf;purchase;Einkaufen & Geld
Einkaufswagen;shopping trolley;Einkaufen & Geld
Einkaufskorb;shopping basket;Einkaufen & Geld
Regal;shelf;Einkaufen & Geld
Kasse;checkout;Einkaufen & Geld
Kassenzettel;receipt;Einkaufen & Geld
Quittung;receipt;Einkaufen & Geld
Preis;price;Einkaufen & Geld
Rabatt;discount;Einkaufen & Geld
Aktion;special offer;Einkaufen & Geld
Angebot;offer;Einkaufen & Geld
Ware;goods;Einkaufen & Geld
Produkt;product;Einkaufen & Geld
Marke;brand;Einkaufen & Geld
Grösse;size;Einkaufen & Geld
Farbe;colour;Einkaufen & Geld
Qualität;quality;Einkaufen & Geld
Menge;quantity;Einkaufen & Geld
Stück;piece;Einkaufen & Geld
Packung;packet;Einkaufen & Geld
Dose;can;Einkaufen & Geld
Flasche;bottle;Einkaufen & Geld
Beutel;bag;Einkaufen & Geld
Sack;bag;Einkaufen & Geld
Karton;cardboard box;Einkaufen & Geld
Geld;money;Einkaufen & Geld
Bargeld;cash;Einkaufen & Geld
Münze;coin;Einkaufen & Geld
Note;banknote;Einkaufen & Geld
Karte;card;Einkaufen & Geld
Debitkarte;debit card;Einkaufen & Geld
Kreditkarte;credit card;Einkaufen & Geld
Rechnung;invoice;Einkaufen & Geld
Zahlung;payment;Einkaufen & Geld
Überweisung;bank transfer;Einkaufen & Geld
Konto;account;Einkaufen & Geld
Bank;bank;Einkaufen & Geld
Gebühr;fee;Einkaufen & Geld
Kosten;costs;Einkaufen & Geld
Budget;budget;Einkaufen & Geld
Einkommen;income;Einkaufen & Geld
Ausgabe;expense;Einkaufen & Geld
Lohn;salary;Einkaufen & Geld
Rente;pension;Einkaufen & Geld
Steuer;tax;Einkaufen & Geld
Versicherung;insurance;Einkaufen & Geld
Miete;rent;Einkaufen & Geld
Hypothek;mortgage;Einkaufen & Geld
Schuld;debt;Einkaufen & Geld
Sparen;saving;Einkaufen & Geld
Ersparnis;savings;Einkaufen & Geld
Wechselgeld;change;Einkaufen & Geld
Portemonnaie;wallet;Einkaufen & Geld
Beleg;voucher;Einkaufen & Geld
Gutschein;voucher;Einkaufen & Geld
Garantie;warranty;Einkaufen & Geld
Umtausch;exchange;Einkaufen & Geld
Rückgabe;return;Einkaufen & Geld
BuchLaden;book shop;Einkaufen & Geld
BuchGeschäft;book store;Einkaufen & Geld
BuchAbteilung;book department;Einkaufen & Geld
BuchRegal;book shelf;Einkaufen & Geld
BuchAngebot;book offer;Einkaufen & Geld
BuchPreis;book price;Einkaufen & Geld
BuchRabatt;book discount;Einkaufen & Geld
BuchAktion;book promotion;Einkaufen & Geld
BuchGutschein;book voucher;Einkaufen & Geld
BuchRechnung;book invoice;Einkaufen & Geld
BuchLieferung;book delivery;Einkaufen & Geld
BuchBestellung;book order;Einkaufen & Geld
BuchPaket;book parcel;Einkaufen & Geld
BuchKasse;book checkout;Einkaufen & Geld
SchuhLaden;shoe shop;Einkaufen & Geld
SchuhGeschäft;shoe store;Einkaufen & Geld
SchuhAbteilung;shoe department;Einkaufen & Geld
SchuhRegal;shoe shelf;Einkaufen & Geld
SchuhAngebot;shoe offer;Einkaufen & Geld
SchuhPreis;shoe price;Einkaufen & Geld
SchuhRabatt;shoe discount;Einkaufen & Geld
SchuhAktion;shoe promotion;Einkaufen & Geld
SchuhGutschein;shoe voucher;Einkaufen & Geld
SchuhRechnung;shoe invoice;Einkaufen & Geld
SchuhLieferung;shoe delivery;Einkaufen & Geld
SchuhBestellung;shoe order;Einkaufen & Geld
SchuhPaket;shoe parcel;Einkaufen & Geld
SchuhKasse;shoe checkout;Einkaufen & Geld
KleiderLaden;clothes shop;Einkaufen & Geld
KleiderGeschäft;clothes store;Einkaufen & Geld
KleiderAbteilung;clothes department;Einkaufen & Geld
KleiderRegal;clothes shelf;Einkaufen & Geld
KleiderAngebot;clothes offer;Einkaufen & Geld
KleiderPreis;clothes price;Einkaufen & Geld
KleiderRabatt;clothes discount;Einkaufen & Geld
KleiderAktion;clothes promotion;Einkaufen & Geld
KleiderGutschein;clothes voucher;Einkaufen & Geld
KleiderRechnung;clothes invoice;Einkaufen & Geld
KleiderLieferung;clothes delivery;Einkaufen & Geld
KleiderBestellung;clothes order;Einkaufen & Geld
KleiderPaket;clothes parcel;Einkaufen & Geld
KleiderKasse;clothes checkout;Einkaufen & Geld
SportLaden;sports shop;Einkaufen & Geld
SportGeschäft;sports store;Einkaufen & Geld
SportAbteilung;sports department;Einkaufen & Geld
SportRegal;sports shelf;Einkaufen & Geld
SportAngebot;sports offer;Einkaufen & Geld
SportPreis;sports price;Einkaufen & Geld
SportRabatt;sports discount;Einkaufen & Geld
SportAktion;sports promotion;Einkaufen & Geld
SportGutschein;sports voucher;Einkaufen & Geld
SportRechnung;sports invoice;Einkaufen & Geld
SportLieferung;sports delivery;Einkaufen & Geld
SportBestellung;sports order;Einkaufen & Geld
SportPaket;sports parcel;Einkaufen & Geld
SportKasse;sports checkout;Einkaufen & Geld
ElektroLaden;electronics shop;Einkaufen & Geld
ElektroGeschäft;electronics store;Einkaufen & Geld
ElektroAbteilung;electronics department;Einkaufen & Geld
ElektroRegal;electronics shelf;Einkaufen & Geld
ElektroAngebot;electronics offer;Einkaufen & Geld
ElektroPreis;electronics price;Einkaufen & Geld
ElektroRabatt;electronics discount;Einkaufen & Geld
ElektroAktion;electronics promotion;Einkaufen & Geld
ElektroGutschein;electronics voucher;Einkaufen & Geld
ElektroRechnung;electronics invoice;Einkaufen & Geld
ElektroLieferung;electronics delivery;Einkaufen & Geld
ElektroBestellung;electronics order;Einkaufen & Geld
ElektroPaket;electronics parcel;Einkaufen & Geld
ElektroKasse;electronics checkout;Einkaufen & Geld
MöbelLaden;furniture shop;Einkaufen & Geld
MöbelGeschäft;furniture store;Einkaufen & Geld
MöbelAbteilung;furniture department;Einkaufen & Geld
MöbelRegal;furniture shelf;Einkaufen & Geld
MöbelAngebot;furniture offer;Einkaufen & Geld
MöbelPreis;furniture price;Einkaufen & Geld
MöbelRabatt;furniture discount;Einkaufen & Geld
MöbelAktion;furniture promotion;Einkaufen & Geld
MöbelGutschein;furniture voucher;Einkaufen & Geld
MöbelRechnung;furniture invoice;Einkaufen & Geld
MöbelLieferung;furniture delivery;Einkaufen & Geld
MöbelBestellung;furniture order;Einkaufen & Geld
MöbelPaket;furniture parcel;Einkaufen & Geld
MöbelKasse;furniture checkout;Einkaufen & Geld
LebensmittelLaden;grocery shop;Einkaufen & Geld
LebensmittelGeschäft;grocery store;Einkaufen & Geld
LebensmittelAbteilung;grocery department;Einkaufen & Geld
LebensmittelRegal;grocery shelf;Einkaufen & Geld
LebensmittelAngebot;grocery offer;Einkaufen & Geld
LebensmittelPreis;grocery price;Einkaufen & Geld
LebensmittelRabatt;grocery discount;Einkaufen & Geld
LebensmittelAktion;grocery promotion;Einkaufen & Geld
LebensmittelGutschein;grocery voucher;Einkaufen & Geld
LebensmittelRechnung;grocery invoice;Einkaufen & Geld
LebensmittelLieferung;grocery delivery;Einkaufen & Geld
LebensmittelBestellung;grocery order;Einkaufen & Geld
LebensmittelPaket;grocery parcel;Einkaufen & Geld
LebensmittelKasse;grocery checkout;Einkaufen & Geld
GetränkeLaden;beverage shop;Einkaufen & Geld
GetränkeGeschäft;beverage store;Einkaufen & Geld
GetränkeAbteilung;beverage department;Einkaufen & Geld
GetränkeRegal;beverage shelf;Einkaufen & Geld
GetränkeAngebot;beverage offer;Einkaufen & Geld
GetränkePreis;beverage price;Einkaufen & Geld
GetränkeRabatt;beverage discount;Einkaufen & Geld
GetränkeAktion;beverage promotion;Einkaufen & Geld
GetränkeGutschein;beverage voucher;Einkaufen & Geld
GetränkeRechnung;beverage invoice;Einkaufen & Geld
GetränkeLieferung;beverage delivery;Einkaufen & Geld
GetränkeBestellung;beverage order;Einkaufen & Geld
GetränkePaket;beverage parcel;Einkaufen & Geld
GetränkeKasse;beverage checkout;Einkaufen & Geld
HaushaltLaden;household shop;Einkaufen & Geld
HaushaltGeschäft;household store;Einkaufen & Geld
HaushaltAbteilung;household department;Einkaufen & Geld
HaushaltRegal;household shelf;Einkaufen & Geld
HaushaltAngebot;household offer;Einkaufen & Geld
HaushaltPreis;household price;Einkaufen & Geld
HaushaltRabatt;household discount;Einkaufen & Geld
HaushaltAktion;household promotion;Einkaufen & Geld
HaushaltGutschein;household voucher;Einkaufen & Geld
HaushaltRechnung;household invoice;Einkaufen & Geld
HaushaltLieferung;household delivery;Einkaufen & Geld
HaushaltBestellung;household order;Einkaufen & Geld
HaushaltPaket;household parcel;Einkaufen & Geld
HaushaltKasse;household checkout;Einkaufen & Geld
GartenLaden;garden shop;Einkaufen & Geld
GartenGeschäft;garden store;Einkaufen & Geld
GartenAbteilung;garden department;Einkaufen & Geld
GartenRegal;garden shelf;Einkaufen & Geld
GartenAngebot;garden offer;Einkaufen & Geld
GartenPreis;garden price;Einkaufen & Geld
GartenRabatt;garden discount;Einkaufen & Geld
GartenAktion;garden promotion;Einkaufen & Geld
GartenGutschein;garden voucher;Einkaufen & Geld
GartenRechnung;garden invoice;Einkaufen & Geld
GartenLieferung;garden delivery;Einkaufen & Geld
GartenBestellung;garden order;Einkaufen & Geld
GartenPaket;garden parcel;Einkaufen & Geld
GartenKasse;garden checkout;Einkaufen & Geld
BauLaden;hardware shop;Einkaufen & Geld
BauGeschäft;hardware store;Einkaufen & Geld
BauAbteilung;hardware department;Einkaufen & Geld
BauRegal;hardware shelf;Einkaufen & Geld
BauAngebot;hardware offer;Einkaufen & Geld
BauPreis;hardware price;Einkaufen & Geld
BauRabatt;hardware discount;Einkaufen & Geld
BauAktion;hardware promotion;Einkaufen & Geld
BauGutschein;hardware voucher;Einkaufen & Geld
BauRechnung;hardware invoice;Einkaufen & Geld
BauLieferung;hardware delivery;Einkaufen & Geld
BauBestellung;hardware order;Einkaufen & Geld
BauPaket;hardware parcel;Einkaufen & Geld
BauKasse;hardware checkout;Einkaufen & Geld
SpielwarenLaden;toy shop;Einkaufen & Geld
SpielwarenGeschäft;toy store;Einkaufen & Geld
SpielwarenAbteilung;toy department;Einkaufen & Geld
SpielwarenRegal;toy shelf;Einkaufen & Geld
SpielwarenAngebot;toy offer;Einkaufen & Geld
SpielwarenPreis;toy price;Einkaufen & Geld
SpielwarenRabatt;toy discount;Einkaufen & Geld
SpielwarenAktion;toy promotion;Einkaufen & Geld
SpielwarenGutschein;toy voucher;Einkaufen & Geld
SpielwarenRechnung;toy invoice;Einkaufen & Geld
SpielwarenLieferung;toy delivery;Einkaufen & Geld
SpielwarenBestellung;toy order;Einkaufen & Geld
SpielwarenPaket;toy parcel;Einkaufen & Geld
SpielwarenKasse;toy checkout;Einkaufen & Geld
OnlineLaden;online shop;Einkaufen & Geld
OnlineGeschäft;online store;Einkaufen & Geld
OnlineAbteilung;online department;Einkaufen & Geld
OnlineRegal;online shelf;Einkaufen & Geld
OnlineAngebot;online offer;Einkaufen & Geld
OnlinePreis;online price;Einkaufen & Geld
OnlineRabatt;online discount;Einkaufen & Geld
OnlineAktion;online promotion;Einkaufen & Geld
OnlineGutschein;online voucher;Einkaufen & Geld
OnlineRechnung;online invoice;Einkaufen & Geld
OnlineLieferung;online delivery;Einkaufen & Geld
OnlineBestellung;online order;Einkaufen & Geld
OnlinePaket;online parcel;Einkaufen & Geld
OnlineKasse;online checkout;Einkaufen & Geld
SecondhandLaden;second-hand shop;Einkaufen & Geld
SecondhandGeschäft;second-hand store;Einkaufen & Geld
SecondhandAbteilung;second-hand department;Einkaufen & Geld
SecondhandRegal;second-hand shelf;Einkaufen & Geld
SecondhandAngebot;second-hand offer;Einkaufen & Geld
SecondhandPreis;second-hand price;Einkaufen & Geld
SecondhandRabatt;second-hand discount;Einkaufen & Geld
SecondhandAktion;second-hand promotion;Einkaufen & Geld
SecondhandGutschein;second-hand voucher;Einkaufen & Geld
SecondhandRechnung;second-hand invoice;Einkaufen & Geld
SecondhandLieferung;second-hand delivery;Einkaufen & Geld
SecondhandBestellung;second-hand order;Einkaufen & Geld
SecondhandPaket;second-hand parcel;Einkaufen & Geld
SecondhandKasse;second-hand checkout;Einkaufen & Geld
MarktLaden;market shop;Einkaufen & Geld
MarktGeschäft;market store;Einkaufen & Geld
MarktAbteilung;market department;Einkaufen & Geld
MarktRegal;market shelf;Einkaufen & Geld
MarktAngebot;market offer;Einkaufen & Geld
MarktPreis;market price;Einkaufen & Geld
MarktRabatt;market discount;Einkaufen & Geld
MarktAktion;market promotion;Einkaufen & Geld
MarktGutschein;market voucher;Einkaufen & Geld
MarktRechnung;market invoice;Einkaufen & Geld
MarktLieferung;market delivery;Einkaufen & Geld
MarktBestellung;market order;Einkaufen & Geld
MarktPaket;market parcel;Einkaufen & Geld
MarktKasse;market checkout;Einkaufen & Geld
BankNummer;bank number;Einkaufen & Geld
BankGebühr;bank fee;Einkaufen & Geld
BankBetrag;bank amount;Einkaufen & Geld
BankLimite;bank limit;Einkaufen & Geld
BankSaldo;bank balance;Einkaufen & Geld
BankAuszug;bank statement;Einkaufen & Geld
BankBeleg;bank receipt;Einkaufen & Geld
BankFrist;bank deadline;Einkaufen & Geld
BankRate;bank instalment;Einkaufen & Geld
BankZins;bank interest;Einkaufen & Geld
BankKosten;bank costs;Einkaufen & Geld
BankPlan;bank plan;Einkaufen & Geld
KontoNummer;account number;Einkaufen & Geld
KontoGebühr;account fee;Einkaufen & Geld
KontoBetrag;account amount;Einkaufen & Geld
KontoLimite;account limit;Einkaufen & Geld
KontoSaldo;account balance;Einkaufen & Geld
KontoAuszug;account statement;Einkaufen & Geld
KontoBeleg;account receipt;Einkaufen & Geld
KontoFrist;account deadline;Einkaufen & Geld
KontoRate;account instalment;Einkaufen & Geld
KontoZins;account interest;Einkaufen & Geld
KontoKosten;account costs;Einkaufen & Geld
KontoPlan;account plan;Einkaufen & Geld
Weg;way;Verkehr & Reisen
Strasse;street;Verkehr & Reisen
Gasse;lane;Verkehr & Reisen
Kreuzung;junction;Verkehr & Reisen
Ampel;traffic light;Verkehr & Reisen
Trottoir;pavement;Verkehr & Reisen
Fussgänger;pedestrian;Verkehr & Reisen
Velo;bicycle;Verkehr & Reisen
Auto;car;Verkehr & Reisen
Bus;bus;Verkehr & Reisen
Tram;tram;Verkehr & Reisen
Zug;train;Verkehr & Reisen
Taxi;taxi;Verkehr & Reisen
Flugzeug;airplane;Verkehr & Reisen
Schiff;ship;Verkehr & Reisen
Bahnhof;train station;Verkehr & Reisen
Haltestelle;stop;Verkehr & Reisen
Flughafen;airport;Verkehr & Reisen
Gleis;platform;Verkehr & Reisen
Perron;platform;Verkehr & Reisen
Billet;ticket;Verkehr & Reisen
Fahrkarte;ticket;Verkehr & Reisen
Abfahrt;departure;Verkehr & Reisen
Ankunft;arrival;Verkehr & Reisen
Verspätung;delay;Verkehr & Reisen
Fahrplan;timetable;Verkehr & Reisen
Verbindung;connection;Verkehr & Reisen
Umsteigen;change;Verkehr & Reisen
Reise;journey;Verkehr & Reisen
Ferien;holiday;Verkehr & Reisen
Hotel;hotel;Verkehr & Reisen
Zimmer;room;Verkehr & Reisen
Reservation;reservation;Verkehr & Reisen
Gepäck;luggage;Verkehr & Reisen
Koffer;suitcase;Verkehr & Reisen
Tasche;bag;Verkehr & Reisen
Pass;passport;Verkehr & Reisen
Ausweis;ID card;Verkehr & Reisen
Grenze;border;Verkehr & Reisen
Zoll;customs;Verkehr & Reisen
Karte;map;Verkehr & Reisen
Richtung;direction;Verkehr & Reisen
Norden;north;Verkehr & Reisen
Süden;south;Verkehr & Reisen
Osten;east;Verkehr & Reisen
Westen;west;Verkehr & Reisen
links;left;Verkehr & Reisen
rechts;right;Verkehr & Reisen
geradeaus;straight ahead;Verkehr & Reisen
Brücke;bridge;Verkehr & Reisen
Tunnel;tunnel;Verkehr & Reisen
Parkplatz;parking space;Verkehr & Reisen
Garage;garage;Verkehr & Reisen
Tankstelle;petrol station;Verkehr & Reisen
Benzin;petrol;Verkehr & Reisen
Diesel;diesel;Verkehr & Reisen
Reifen;tyre;Verkehr & Reisen
Lenkrad;steering wheel;Verkehr & Reisen
Sitz;seat;Verkehr & Reisen
Gurt;seat belt;Verkehr & Reisen
Motor;engine;Verkehr & Reisen
Bremse;brake;Verkehr & Reisen
Unfall;accident;Verkehr & Reisen
Stau;traffic jam;Verkehr & Reisen
Kontrolle;control;Verkehr & Reisen
Geschwindigkeit;speed;Verkehr & Reisen
AutoTür;car door;Verkehr & Reisen
AutoSitz;car seat;Verkehr & Reisen
AutoFenster;car window;Verkehr & Reisen
AutoTicket;car ticket;Verkehr & Reisen
AutoFahrer;car driver;Verkehr & Reisen
AutoLinie;car line;Verkehr & Reisen
AutoStation;car station;Verkehr & Reisen
AutoHaltestelle;car stop;Verkehr & Reisen
AutoFahrplan;car timetable;Verkehr & Reisen
AutoVerbindung;car connection;Verkehr & Reisen
AutoFahrt;car ride;Verkehr & Reisen
AutoRoute;car route;Verkehr & Reisen
AutoSpur;car lane;Verkehr & Reisen
AutoNummer;car number;Verkehr & Reisen
AutoKontrolle;car inspection;Verkehr & Reisen
BusTür;bus door;Verkehr & Reisen
BusSitz;bus seat;Verkehr & Reisen
BusFenster;bus window;Verkehr & Reisen
BusTicket;bus ticket;Verkehr & Reisen
BusFahrer;bus driver;Verkehr & Reisen
BusLinie;bus line;Verkehr & Reisen
BusStation;bus station;Verkehr & Reisen
BusHaltestelle;bus stop;Verkehr & Reisen
BusFahrplan;bus timetable;Verkehr & Reisen
BusVerbindung;bus connection;Verkehr & Reisen
BusFahrt;bus ride;Verkehr & Reisen
BusRoute;bus route;Verkehr & Reisen
BusSpur;bus lane;Verkehr & Reisen
BusNummer;bus number;Verkehr & Reisen
BusKontrolle;bus inspection;Verkehr & Reisen
ZugTür;train door;Verkehr & Reisen
ZugSitz;train seat;Verkehr & Reisen
ZugFenster;train window;Verkehr & Reisen
ZugTicket;train ticket;Verkehr & Reisen
ZugFahrer;train driver;Verkehr & Reisen
ZugLinie;train line;Verkehr & Reisen
ZugStation;train station;Verkehr & Reisen
ZugHaltestelle;train stop;Verkehr & Reisen
ZugFahrplan;train timetable;Verkehr & Reisen
ZugVerbindung;train connection;Verkehr & Reisen
ZugFahrt;train ride;Verkehr & Reisen
ZugRoute;train route;Verkehr & Reisen
ZugSpur;train lane;Verkehr & Reisen
ZugNummer;train number;Verkehr & Reisen
ZugKontrolle;train inspection;Verkehr & Reisen
TramTür;tram door;Verkehr & Reisen
TramSitz;tram seat;Verkehr & Reisen
TramFenster;tram window;Verkehr & Reisen
TramTicket;tram ticket;Verkehr & Reisen
TramFahrer;tram driver;Verkehr & Reisen
TramLinie;tram line;Verkehr & Reisen
TramStation;tram station;Verkehr & Reisen
TramHaltestelle;tram stop;Verkehr & Reisen
TramFahrplan;tram timetable;Verkehr & Reisen
TramVerbindung;tram connection;Verkehr & Reisen
TramFahrt;tram ride;Verkehr & Reisen
TramRoute;tram route;Verkehr & Reisen
TramSpur;tram lane;Verkehr & Reisen
TramNummer;tram number;Verkehr & Reisen
TramKontrolle;tram inspection;Verkehr & Reisen
VeloTür;bicycle door;Verkehr & Reisen
VeloSitz;bicycle seat;Verkehr & Reisen
VeloFenster;bicycle window;Verkehr & Reisen
VeloTicket;bicycle ticket;Verkehr & Reisen
VeloFahrer;bicycle driver;Verkehr & Reisen
VeloLinie;bicycle line;Verkehr & Reisen
VeloStation;bicycle station;Verkehr & Reisen
VeloHaltestelle;bicycle stop;Verkehr & Reisen
VeloFahrplan;bicycle timetable;Verkehr & Reisen
VeloVerbindung;bicycle connection;Verkehr & Reisen
VeloFahrt;bicycle ride;Verkehr & Reisen
VeloRoute;bicycle route;Verkehr & Reisen
VeloSpur;bicycle lane;Verkehr & Reisen
VeloNummer;bicycle number;Verkehr & Reisen
VeloKontrolle;bicycle inspection;Verkehr & Reisen
TaxiTür;taxi door;Verkehr & Reisen
TaxiSitz;taxi seat;Verkehr & Reisen
TaxiFenster;taxi window;Verkehr & Reisen
TaxiTicket;taxi ticket;Verkehr & Reisen
TaxiFahrer;taxi driver;Verkehr & Reisen
TaxiLinie;taxi line;Verkehr & Reisen
TaxiStation;taxi station;Verkehr & Reisen
TaxiHaltestelle;taxi stop;Verkehr & Reisen
TaxiFahrplan;taxi timetable;Verkehr & Reisen
TaxiVerbindung;taxi connection;Verkehr & Reisen
TaxiFahrt;taxi ride;Verkehr & Reisen
TaxiRoute;taxi route;Verkehr & Reisen
TaxiSpur;taxi lane;Verkehr & Reisen
TaxiNummer;taxi number;Verkehr & Reisen
TaxiKontrolle;taxi inspection;Verkehr & Reisen
FlugzeugTür;airplane door;Verkehr & Reisen
FlugzeugSitz;airplane seat;Verkehr & Reisen
FlugzeugFenster;airplane window;Verkehr & Reisen
FlugzeugTicket;airplane ticket;Verkehr & Reisen
FlugzeugFahrer;airplane driver;Verkehr & Reisen
FlugzeugLinie;airplane line;Verkehr & Reisen
FlugzeugStation;airplane station;Verkehr & Reisen
FlugzeugHaltestelle;airplane stop;Verkehr & Reisen
FlugzeugFahrplan;airplane timetable;Verkehr & Reisen
FlugzeugVerbindung;airplane connection;Verkehr & Reisen
FlugzeugFahrt;airplane ride;Verkehr & Reisen
FlugzeugRoute;airplane route;Verkehr & Reisen
FlugzeugSpur;airplane lane;Verkehr & Reisen
FlugzeugNummer;airplane number;Verkehr & Reisen
FlugzeugKontrolle;airplane inspection;Verkehr & Reisen
SchiffTür;ship door;Verkehr & Reisen
SchiffSitz;ship seat;Verkehr & Reisen
SchiffFenster;ship window;Verkehr & Reisen
SchiffTicket;ship ticket;Verkehr & Reisen
SchiffFahrer;ship driver;Verkehr & Reisen
SchiffLinie;ship line;Verkehr & Reisen
SchiffStation;ship station;Verkehr & Reisen
SchiffHaltestelle;ship stop;Verkehr & Reisen
SchiffFahrplan;ship timetable;Verkehr & Reisen
SchiffVerbindung;ship connection;Verkehr & Reisen
SchiffFahrt;ship ride;Verkehr & Reisen
SchiffRoute;ship route;Verkehr & Reisen
SchiffSpur;ship lane;Verkehr & Reisen
SchiffNummer;ship number;Verkehr & Reisen
SchiffKontrolle;ship inspection;Verkehr & Reisen
MotorradTür;motorbike door;Verkehr & Reisen
MotorradSitz;motorbike seat;Verkehr & Reisen
MotorradFenster;motorbike window;Verkehr & Reisen
MotorradTicket;motorbike ticket;Verkehr & Reisen
MotorradFahrer;motorbike driver;Verkehr & Reisen
MotorradLinie;motorbike line;Verkehr & Reisen
MotorradStation;motorbike station;Verkehr & Reisen
MotorradHaltestelle;motorbike stop;Verkehr & Reisen
MotorradFahrplan;motorbike timetable;Verkehr & Reisen
MotorradVerbindung;motorbike connection;Verkehr & Reisen
MotorradFahrt;motorbike ride;Verkehr & Reisen
MotorradRoute;motorbike route;Verkehr & Reisen
MotorradSpur;motorbike lane;Verkehr & Reisen
MotorradNummer;motorbike number;Verkehr & Reisen
MotorradKontrolle;motorbike inspection;Verkehr & Reisen
LastwagenTür;lorry door;Verkehr & Reisen
LastwagenSitz;lorry seat;Verkehr & Reisen
LastwagenFenster;lorry window;Verkehr & Reisen
LastwagenTicket;lorry ticket;Verkehr & Reisen
LastwagenFahrer;lorry driver;Verkehr & Reisen
LastwagenLinie;lorry line;Verkehr & Reisen
LastwagenStation;lorry station;Verkehr & Reisen
LastwagenHaltestelle;lorry stop;Verkehr & Reisen
LastwagenFahrplan;lorry timetable;Verkehr & Reisen
LastwagenVerbindung;lorry connection;Verkehr & Reisen
LastwagenFahrt;lorry ride;Verkehr & Reisen
LastwagenRoute;lorry route;Verkehr & Reisen
LastwagenSpur;lorry lane;Verkehr & Reisen
LastwagenNummer;lorry number;Verkehr & Reisen
LastwagenKontrolle;lorry inspection;Verkehr & Reisen
ReisePlan;travel plan;Verkehr & Reisen
ReiseKarte;travel map;Verkehr & Reisen
ReiseZiel;travel destination;Verkehr & Reisen
ReiseZeit;travel time;Verkehr & Reisen
ReiseKosten;travel costs;Verkehr & Reisen
ReiseDauer;travel duration;Verkehr & Reisen
ReiseRoute;travel route;Verkehr & Reisen
